City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
147,Luderitz,NA,-26.6481,15.1594,71.73,38,0,2.75,clear sky,2021-06-06 14:32:13
148,Kochevo,RU,59.5994,54.3125,70.39,55,18,5.59,few clouds,2021-06-06 14:32:13
149,Maniitsoq,GL,65.4167,-52.9,40.55,90,100,7.38,overcast clouds,2021-06-06 14:32:14
150,Georgetown,MY,5.4112,100.3354,82.35,86,20,3.0,few clouds,2021-06-06 14:30:52
151,Ponta Do Sol,PT,32.6667,-17.1,73.71,66,0,2.66,clear sky,2021-06-06 14:32:14
152,Sangar,RU,63.9242,127.4739,50.81,42,99,4.09,overcast clouds,2021-06-06 14:32:14
153,Staraya Kulatka,RU,52.7167,47.6167,67.28,77,55,5.93,broken clouds,2021-06-06 14:32:14
154,Tiarei,PF,-17.5333,-149.3333,77.02,78,7,12.82,clear sky,2021-06-06 14:32:15
155,Samaipata,BO,-18.15,-63.8667,55.0,95,100,3.31,overcast clouds,2021-06-06 14:32:15
156,Inongo,CD,-1.95,18.2667,72.07,92,77,4.88,moderate rain,2021-06-06 14:32:15
157,Bilibino,RU,68.0546,166.4372,54.12,62,3,4.56,clear sky,2021-06-06 14:32:16
158,Yar-Sale,RU,66.8333,70.8333,42.96,49,97,16.53,overcast clouds,2021-06-06 14:32:16
159,Geraldton,AU,-28.7667,114.6,56.12,87,97,12.01,overcast clouds,2021-06-06 14:32:16
160,Redmond,US,47.674,-122.1215,52.25,81,100,1.01,overcast clouds,2021-06-06 14:32:17
161,San Lazaro,BZ,18.0387,-88.6622,87.66,59,100,9.6,overcast clouds,2021-06-06 14:32:17
162,Fria,GN,10.4167,-13.5833,94.41,46,96,2.44,overcast clouds,2021-06-06 14:32:17
163,Buinsk,RU,54.95,48.2833,73.29,72,26,5.68,scattered clouds,2021-06-06 14:32:18
164,Barbastro,ES,42.0356,0.1269,80.13,33,70,6.2,broken clouds,2021-06-06 14:32:18
165,Nurota,UZ,40.5614,65.6886,102.29,13,18,9.64,few clouds,2021-06-06 14:32:18
166,Havoysund,NO,70.9963,24.6622,49.08,65,4,3.51,clear sky,2021-06-06 14:32:19
167,Saskylakh,RU,71.9167,114.0833,37.98,64,96,7.4,overcast clouds,2021-06-06 14:32:19
168,East London,ZA,-33.0153,27.9116,68.94,56,0,9.22,clear sky,2021-06-06 14:32:19
169,Capinopolis,BR,-18.6819,-49.5697,84.27,36,99,6.76,overcast clouds,2021-06-06 14:32:20
170,Norman Wells,CA,65.282,-126.8329,42.84,93,90,10.36,light rain,2021-06-06 14:32:20
171,Margate,GB,51.3813,1.3862,70.86,81,35,7.58,scattered clouds,2021-06-06 14:32:20
172,Mumford,GH,5.2618,-0.759,83.21,70,93,12.44,overcast clouds,2021-06-06 14:32:20
173,Hwange,ZW,-18.3693,26.5019,69.87,33,73,6.44,broken clouds,2021-06-06 14:32:21
174,Samarai,PG,-10.6167,150.6667,77.72,90,100,17.87,heavy intensity rain,2021-06-06 14:32:21
175,Ajdabiya,LY,30.7554,20.2263,80.94,31,0,16.31,clear sky,2021-06-06 14:30:30
