City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
321,Barra Do Garcas,BR,79.38,clear sky,-15.89,-52.2567,
324,Makakilo City,US,72.68,scattered clouds,21.3469,-158.0858,
325,Sobolevo,RU,67.08,broken clouds,54.4299,31.8996,
326,Luganville,VU,75.85,overcast clouds,-15.5333,167.1667,
327,West Bay,KY,88.07,few clouds,19.3667,-81.4167,
329,Nador,MA,82.47,few clouds,35.174,-2.9287,
330,Atherton,GB,70.36,overcast clouds,53.5237,-2.4935,
331,Maragogi,BR,80.96,scattered clouds,-9.0122,-35.2225,
332,Kirakira,SB,79.3,scattered clouds,-10.4544,161.9205,
334,Baza,ES,80.58,clear sky,37.4907,-2.7726,
336,Maryville,US,76.3,overcast clouds,35.7565,-83.9705,
338,Saldanha,ZA,70.66,scattered clouds,-33.0117,17.9442,
339,Boyolangu,ID,76.12,broken clouds,-8.1181,111.8935,
340,Muncie,US,80.26,overcast clouds,40.1934,-85.3864,
341,Ezhou,CN,74.44,broken clouds,30.4,114.8333,
343,Lazi,UA,64.8,broken clouds,48.0667,24.2333,
344,Fonte Boa,BR,86.23,overcast clouds,-2.4959,-66.2662,
345,Bertoua,CM,83.08,light rain,4.5833,13.6833,
346,Drumnadrochit,GB,64.78,broken clouds,57.3344,-4.4799,
347,San Julian,MX,68.56,broken clouds,21.0167,-102.1667,
348,Vila Velha,BR,82.96,scattered clouds,-20.3297,-40.2925,
349,Nizhniy Chir,RU,69.91,broken clouds,48.3597,43.0865,
351,Plouzane,FR,64.49,overcast clouds,48.3833,-4.6167,
353,Chau Doc,VN,82.53,overcast clouds,10.7,105.1167,
354,Chiapilla,MX,69.6,overcast clouds,16.5167,-92.7333,
355,Hualmay,PE,67.06,overcast clouds,-11.0964,-77.6139,
356,Houston,US,83.97,overcast clouds,29.7633,-95.3633,
357,Sao Joao Da Barra,BR,82.49,clear sky,-21.6403,-41.0511,
358,Padre Bernardo,BR,83.48,overcast clouds,-15.35,-48.5,
360,Tarsus,TR,89.98,clear sky,36.9188,34.8784,
363,Roros,NO,66.04,broken clouds,62.5747,11.3842,
365,San Patricio,US,83.91,clear sky,28.017,-97.5169,
368,Guilin,CN,75.31,clear sky,25.2819,110.2864,
371,Souillac,MU,76.35,light rain,-20.5167,57.5167,
372,Libreville,GA,84.22,light rain,0.3925,9.4537,
373,Bonavista,CA,60.8,light rain,48.6499,-53.1147,
374,Phan Thiet,VN,81.99,overcast clouds,10.9333,108.1,
375,Talara,PE,72.36,few clouds,-4.5772,-81.2719,
376,Tikamgarh,IN,95.34,broken clouds,24.745,78.8333,
377,Tamandare,BR,81.5,few clouds,-8.7597,-35.1047,
378,Ginir,ET,63.1,light rain,7.1333,40.7,
379,Katsuura,JP,71.11,overcast clouds,35.1333,140.3,
380,Pandan,PH,80.62,overcast clouds,14.0453,124.1694,
381,Muscat,OM,89.62,clear sky,23.6139,58.5922,
383,Lasa,IT,69.71,overcast clouds,46.6166,10.7002,
384,Bani,DO,84.74,few clouds,18.2833,-70.3333,
386,Lebork,PL,71.15,overcast clouds,54.5392,17.7501,
387,Nuzvid,IN,83.25,scattered clouds,16.7833,80.85,
388,Afua,BR,87.24,few clouds,-0.1567,-50.3867,
390,Timmins,CA,66.02,broken clouds,48.4669,-81.3331,
391,Taranto,IT,81.48,overcast clouds,40.6167,17.25,
392,Gushi,CN,86.95,light rain,34.6425,109.5843,
